,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
6989,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,0,8556,,,0
7021,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,900,12150,,,0
7039,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,1800,12191,,,0
7079,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,2700,13766,,,0
7102,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,3600,14340,,,0
7117,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,4500,14453,,,0
7143,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,5400,14602,,,0
7161,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,6300,14705,,,0
7189,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,7200,14819,,,0
7212,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,8100,14936,,,0
7235,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,9000,14957,,,0
7258,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,9900,14977,,,0
7276,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,10800,14981,,,0
7303,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,11700,14997,,,0
7323,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,12600,15008,,,0
7353,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,13500,15047,,,0
7372,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,14400,15054,,,0
7398,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,15300,15057,,,0
7431,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,16200,15059,,,0
7454,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,17100,15064,,,0
7479,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,18000,15071,,,0
7496,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,18900,15074,,,0
7523,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,19800,15076,,,0
7540,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,20700,15077,,,0
7562,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,21600,15077,,,0
7592,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,22500,15081,,,0
7614,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,23400,15084,,,0
7645,7c70037a73d2cc66627c6109d53d20b3594f85c9,/home/dylan/experiment-data,aflslow,afl,libxml2_xml,2023-10-12 13:55:19.283498,2023-10-13 14:05:36.809445,1,24300,15084,,,0
