,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
2348,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,0,8556,,,0
2360,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,900,12617,,,0
2382,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,1800,13435,,,0
2422,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,2700,14030,,,0
2443,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,3600,14423,,,0
2457,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,4500,14606,,,0
2487,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,5400,14676,,,0
2502,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,6300,14787,,,0
2542,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,7200,14914,,,0
2552,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,8100,14961,,,0
2579,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,9000,14968,,,0
2610,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,9900,15020,,,0
2628,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,10800,15035,,,0
2650,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,11700,15040,,,0
2675,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,12600,15047,,,0
2697,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,13500,15053,,,0
2715,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,14400,15053,,,0
2736,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,15300,15053,,,0
2773,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,16200,15065,,,0
2797,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,17100,15070,,,0
2808,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,18000,15070,,,0
2847,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,18900,15101,,,0
2873,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,19800,15101,,,0
2885,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,20700,15103,,,0
2921,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,21600,15117,,,0
2946,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,22500,15121,,,0
2966,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,23400,15144,,,0
2992,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,24300,15144,,,0
3019,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,25200,15144,,,0
3047,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,26100,15146,,,0
3069,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,27000,15147,,,0
3094,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,27900,15147,,,0
3112,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,28800,15147,,,0
3139,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,29700,15147,,,0
3163,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,30600,15155,,,0
3183,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,31500,15155,,,0
3209,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,32400,15155,,,0
3224,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,33300,15157,,,0
3260,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,34200,15182,,,0
3280,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,35100,15182,,,0
3306,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,36000,15184,,,0
3318,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,36900,15184,,,0
3336,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,37800,15184,,,0
3373,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,38700,15194,,,0
3399,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,39600,15196,,,0
3429,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,40500,15227,,,0
3453,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,41400,15227,,,0
3476,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,42300,15231,,,0
3499,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,43200,15235,,,0
3519,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,44100,15270,,,0
3545,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,45000,15272,,,0
3568,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,45900,15272,,,0
3595,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,46800,15278,,,0
3618,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,47700,15281,,,0
3634,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,48600,15287,,,0
3665,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,49500,15292,,,0
3676,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,50400,15296,,,0
3705,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,51300,15296,,,0
3727,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,52200,15296,,,0
3764,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,53100,15297,,,0
3783,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,54000,15297,,,0
3807,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,54900,15306,,,0
3824,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,55800,15307,,,0
3856,ba22647276a63912312fb6636287cc266da19683,/home/dylan/experiment-data,smartslow,eclipser,libxml2_xml,2023-10-25 08:44:33.778806,2023-10-26 08:54:52.780698,161,56700,15307,,,0
