"coefficient","estimate","lower","upper"
"(Intercept)",3.27438970879675,3.16519765702295,3.31706053931114
"fuzzerafl",0.19901202945692,0.0952123317288377,0.283898807475628
"fuzzeraflplusplus",-1.82198667287192,-1.87331911697948,-1.67455351749911
"fuzzerentropic",-1.43829074729422,-1.47636636227881,-1.28202000094065
"mean_exec_ns",0.00837532691463463,0.00224963553801477,0.0251801817144727
"mean_size_bytes",0.00961894719883898,-0.0103207482714974,0.0154260678066937
"initial_coverage",0.0198778782796481,0.00766599109950859,0.0338796855060132
"bin_text_size",0.11253097594686,0.0987234533775773,0.149253865840592
"`fuzzerafl:mean_exec_ns`",-0.0198014194782582,-0.0315506490791009,-0.00258551431749617
"`fuzzeraflplusplus:mean_exec_ns`",-0.0230630820562327,-0.0427369976742548,-0.0130217174351157
"`fuzzerentropic:mean_exec_ns`",-0.00591174752686415,-0.0256107930360139,0.00558546804929672
"`fuzzerafl:mean_size_bytes`",-0.00600431600835372,-0.02029511455308,0.0113266400942665
"`fuzzeraflplusplus:mean_size_bytes`",-0.0100663079576876,-0.0214720954884968,0.0123767713567235
"`fuzzerentropic:mean_size_bytes`",-0.0059962644573892,-0.0162209079301708,0.0163275931610004
"`fuzzerafl:initial_coverage`",-0.0371209391847457,-0.0491827109000078,-0.0179866804260593
"`fuzzeraflplusplus:initial_coverage`",-0.0264505903822478,-0.0461675934234945,-0.0118982081677817
"`fuzzerentropic:initial_coverage`",-0.02100530020371,-0.0410387849604452,-0.00986094290288429
"`fuzzerafl:bin_text_size`",-0.167741152405724,-0.207307134033991,-0.147678978679812
"`fuzzeraflplusplus:bin_text_size`",-0.208022436154139,-0.252960349514376,-0.188716329304856
"`fuzzerentropic:bin_text_size`",-0.0836950704083755,-0.129871920955014,-0.0682742226965058
