"coefficient","estimate","lower","upper"
"(Intercept)",3.26860098046823,3.1567358373756,3.32894272788153
"fuzzerafl",0.192036068277988,0.0840700166339161,0.296258295127929
"fuzzeraflplusplus",-1.80892578588494,-1.88779228272372,-1.66636433840025
"fuzzerentropic",-1.43203590929952,-1.4926233180101,-1.27396239010256
"mean_exec_ns",0.00878171504043947,0.00154139836312408,0.0269667053791672
"mean_size_bytes",0.0101159744073185,-0.0102767081209567,0.0167800761657031
"initial_coverage",0.0175456250153756,0.00499988350752118,0.0318712662366566
"`fuzzerafl:mean_exec_ns`",-0.0191717590799527,-0.0332800981886934,-0.00267405071225804
"`fuzzeraflplusplus:mean_exec_ns`",-0.0259732675590892,-0.0453247881448551,-0.0122172644073446
"`fuzzerentropic:mean_exec_ns`",-0.00635052867543232,-0.0269625361568149,0.00562286346989601
"`fuzzerafl:mean_size_bytes`",-0.00811670751069527,-0.0222775823955467,0.0104500223148408
"`fuzzeraflplusplus:mean_size_bytes`",-0.00941717337882932,-0.0239328463566162,0.0113389315651179
"`fuzzerentropic:mean_size_bytes`",-0.00579535694124492,-0.0162428748031235,0.0168332461775498
"`fuzzerafl:initial_coverage`",-0.0351883860061929,-0.0469137859987029,-0.0135212254336063
"`fuzzeraflplusplus:initial_coverage`",-0.0265313988106154,-0.0436763549180558,-0.00720017753134397
"`fuzzerentropic:initial_coverage`",-0.0192671349832966,-0.0402297684428623,-0.00773667283465449
