"coefficient","estimate","lower","upper"
"(Intercept)",3.27438970879675,3.16716912153638,3.31478607766855
"fuzzerafl",0.19901202945692,0.09476436893503,0.28989895915377
"fuzzeraflplusplus",-1.82198667287192,-1.87531744082802,-1.67892633278589
"fuzzerentropic",-1.43829074729422,-1.48120269748829,-1.28620717087273
"mean_exec_ns",0.00837532691463463,0.00163892153368718,0.0246364506969412
"mean_size_bytes",0.00961894719883898,-0.00997167483834717,0.0157308949004038
"initial_coverage",0.0198778782796481,0.00749272945574622,0.0337603903594619
"bin_text_size",0.11253097594686,0.100386037437485,0.150576622322082
"`fuzzerafl:mean_exec_ns`",-0.0198014194782582,-0.0318248958355139,-0.00201663323444632
"`fuzzeraflplusplus:mean_exec_ns`",-0.0230630820562327,-0.0423483302358986,-0.0115638416322182
"`fuzzerentropic:mean_exec_ns`",-0.00591174752686415,-0.0251229410305566,0.00558663199012285
"`fuzzerafl:mean_size_bytes`",-0.00600431600835372,-0.0207772094338664,0.0111085019601363
"`fuzzeraflplusplus:mean_size_bytes`",-0.0100663079576876,-0.0211346233344181,0.0117851136364464
"`fuzzerentropic:mean_size_bytes`",-0.0059962644573892,-0.0158107746547402,0.0167991045862061
"`fuzzerafl:initial_coverage`",-0.0371209391847457,-0.0487228850412395,-0.0167511867934444
"`fuzzeraflplusplus:initial_coverage`",-0.0264505903822478,-0.0457908523282524,-0.0113069370506332
"`fuzzerentropic:initial_coverage`",-0.02100530020371,-0.0410813673015742,-0.00901220676000602
"`fuzzerafl:bin_text_size`",-0.167741152405724,-0.208138238540158,-0.148528374652437
"`fuzzeraflplusplus:bin_text_size`",-0.208022436154139,-0.254402279303715,-0.190687452427361
"`fuzzerentropic:bin_text_size`",-0.0836950704083755,-0.131384474654582,-0.0682917798205629
