"coefficient","estimate","lower","upper"
"(Intercept)",3.27438970879675,3.11656897543364,3.37397592437328
"fuzzerafl",0.19901202945692,0.0234135826204632,0.362632868917856
"fuzzeraflplusplus",-1.82198667287192,-1.94409220563326,-1.60498775398882
"fuzzerentropic",-1.43829074729422,-1.55957962689465,-1.21468407644525
"mean_exec_ns",0.00837532691463463,-0.00579766991587117,0.0322921203071887
"mean_size_bytes",0.00961894719883898,-0.0203113692464897,0.0221078372337045
"initial_coverage",0.0198778782796481,-0.00219860262713809,0.0427140376337166
"bin_text_size",0.11253097594686,0.0824992042749418,0.166836946791363
"`fuzzerafl:mean_exec_ns`",-0.0198014194782582,-0.0404218217761666,0.00634972277848679
"`fuzzeraflplusplus:mean_exec_ns`",-0.0230630820562327,-0.0529855413777471,-0.000745048475502296
"`fuzzerentropic:mean_exec_ns`",-0.00591174752686415,-0.0332032058688971,0.0167565990836964
"`fuzzerafl:mean_size_bytes`",-0.00600431600835372,-0.029860142620397,0.0213640699155405
"`fuzzeraflplusplus:mean_size_bytes`",-0.0100663079576876,-0.0298827944846227,0.0238460940309235
"`fuzzerentropic:mean_size_bytes`",-0.0059962644573892,-0.0248885931016041,0.0294782361458163
"`fuzzerafl:initial_coverage`",-0.0371209391847457,-0.0587688766728212,-0.00583849017856335
"`fuzzeraflplusplus:initial_coverage`",-0.0264505903822478,-0.0572261923052312,4.21311333654617e-05
"`fuzzerentropic:initial_coverage`",-0.02100530020371,-0.05394714545328,0.000715092058411119
"`fuzzerafl:bin_text_size`",-0.167741152405724,-0.227325144803454,-0.129809161272104
"`fuzzeraflplusplus:bin_text_size`",-0.208022436154139,-0.276761390625182,-0.166726137380969
"`fuzzerentropic:bin_text_size`",-0.0836950704083755,-0.152137513363456,-0.0489970427446158
