"coefficient","estimate","lower","upper"
"(Intercept)",3.26860098046823,3.09487301413379,3.37894132112434
"fuzzerafl",0.192036068277988,0.0295445099013126,0.364467669812532
"fuzzeraflplusplus",-1.80892578588494,-1.95830596211201,-1.60596799677856
"fuzzerentropic",-1.43203590929952,-1.56644308973934,-1.20970290106064
"mean_exec_ns",0.00878171504043947,-0.00684864778864883,0.0371144450751289
"mean_size_bytes",0.0101159744073185,-0.0174860325701465,0.0270111151436925
"initial_coverage",0.0175456250153756,-0.00293740197954411,0.0426780982287632
"`fuzzerafl:mean_exec_ns`",-0.0191717590799527,-0.0441335735667823,0.00681264033378915
"`fuzzeraflplusplus:mean_exec_ns`",-0.0259732675590892,-0.0589514938938411,-0.00107996496339246
"`fuzzerentropic:mean_exec_ns`",-0.00635052867543232,-0.0397836698774174,0.0161631386948225
"`fuzzerafl:mean_size_bytes`",-0.00811670751069527,-0.0344010381971871,0.0192454853861564
"`fuzzeraflplusplus:mean_size_bytes`",-0.00941717337882932,-0.0361597807671614,0.0211627668695081
"`fuzzerentropic:mean_size_bytes`",-0.00579535694124492,-0.0287631944679679,0.0269515427383132
"`fuzzerafl:initial_coverage`",-0.0351883860061929,-0.0577155799528138,-0.00420482540085101
"`fuzzeraflplusplus:initial_coverage`",-0.0265313988106154,-0.05793248100606,0.00471106427982924
"`fuzzerentropic:initial_coverage`",-0.0192671349832966,-0.0528542030029909,0.00234846854715056
