"coefficient","estimate","lower","upper"
"(Intercept)",3.27438970879675,3.15386596249713,3.33567691038021
"fuzzerafl",0.19901202945692,0.0735962178030272,0.306755492843136
"fuzzeraflplusplus",-1.82198667287192,-1.89713826069148,-1.65560543659636
"fuzzerentropic",-1.43829074729422,-1.50529332369567,-1.26364011368368
"mean_exec_ns",0.00837532691463463,-0.00031416651760748,0.0267127728472951
"mean_size_bytes",0.00961894719883898,-0.0136525360203928,0.0175425854047865
"initial_coverage",0.0198778782796481,0.00504824307483599,0.0366522612281023
"bin_text_size",0.11253097594686,0.0953304065068394,0.153401729374206
"`fuzzerafl:mean_exec_ns`",-0.0198014194782582,-0.0343679991471401,-0.00114193283913576
"`fuzzeraflplusplus:mean_exec_ns`",-0.0230630820562327,-0.0446049005968343,-0.0100301193420482
"`fuzzerentropic:mean_exec_ns`",-0.00591174752686415,-0.0279421936167811,0.00798460249980172
"`fuzzerafl:mean_size_bytes`",-0.00600431600835372,-0.0224143776889191,0.0149608355831724
"`fuzzeraflplusplus:mean_size_bytes`",-0.0100663079576876,-0.0240689436953296,0.0164118806722163
"`fuzzerentropic:mean_size_bytes`",-0.0059962644573892,-0.0180140439901246,0.0212589935249929
"`fuzzerafl:initial_coverage`",-0.0371209391847457,-0.0524945825241196,-0.0142493630105101
"`fuzzeraflplusplus:initial_coverage`",-0.0264505903822478,-0.0490952881450636,-0.00853936863547029
"`fuzzerentropic:initial_coverage`",-0.02100530020371,-0.0452522279022576,-0.00678196576656393
"`fuzzerafl:bin_text_size`",-0.167741152405724,-0.212638800417622,-0.143789208648957
"`fuzzeraflplusplus:bin_text_size`",-0.208022436154139,-0.259186637001198,-0.18336645791989
"`fuzzerentropic:bin_text_size`",-0.0836950704083755,-0.135691027441866,-0.0623642974992406
