,trial_id,benchmark,fuzzer,Unnamed: 0_x,Unnamed: 0.1,git_hash,experiment_filestore,experiment,time_started,time_ended,time,edges_covered,fuzzer_stats,crash_key,bugs_covered,edges_covered_max,saturated,time_sat,initial_coverage,corpus,fuzzbench_trial_id,per_target_trial,Unnamed: 0_y,total_shared,total_eq,total_ineq,total_indir,bin_text_size,eq_unexplored,eq_reached,ineq_unexplored,ineq_reached,indir_reached,shared_reached,mean_exec_ns,q25_exec_ns,q50_exec_ns,q75_exec_ns,q100_exec_ns,mean_size_bytes,q25_mean_size_bytes,q50_mean_size_bytes,q75_mean_size_bytes,q100_mean_size_bytes,corpus_size
0,1,lcms-2017-03-21,afl,96,12096,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-lcms-afl,2022-08-01 13:11:10.467592,,86400,1552,,,0,2079,False,,1098,e1v0-afl,1.0,0.0,47.0,3469.0,13840.0,3820.0,1360.0,4960.0,806.0,967.0,196.0,229.0,18.0,0.0,3220827.9466666663,2868802.6,3041827.9,3242591.1666666665,4494096.833333333,648.0,172.0,484.0,484.0,1968.0,5.0
1,1,sqlite3_ossfuzz,afl,35936,12074,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-sqlite3-afl,2022-08-01 13:17:46.899364,,86400,16118,,,0,16495,True,46800.0,13209,e1v0-afl,1.0,0.0,22.0,9849.0,38188.0,10221.0,3316.0,13078.0,9641.0,12562.0,2769.0,3660.0,56.0,0.0,3582893.968219834,2530596.35,2771713.5,3143729.5666666664,61226838.16666666,1533.8387096774193,444.0,944.0,1924.5,16864.0,279.0
2,1,zlib_zlib_uncompress_fuzzer,afl,48061,12000,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-zlib-afl,2022-08-01 13:31:51.013126,2022-08-02 13:42:08.599046,86400,452,,,0,471,True,63900.0,374,e1v0-afl,1.0,0.0,72.0,3075.0,10231.0,3048.0,1122.0,4386.0,328.0,419.0,142.0,185.0,4.0,0.0,2563850.45,2472317.3,2591728.65,2652595.05,2969756.4,447.6538461538461,5.25,8.0,14.25,5648.0,26.0
3,2,lcms-2017-03-21,afl,193,12023,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-lcms-afl,2022-08-01 13:11:10.403768,,86400,585,,,0,2079,False,,394,e1v0-afl,2.0,1.0,41.0,3469.0,13840.0,3820.0,1360.0,4960.0,400.0,428.0,138.0,146.0,16.0,0.0,3215763.7,3215763.7,3215763.7,3215763.7,3215763.7,132.0,132.0,132.0,132.0,132.0,1.0
4,2,sqlite3_ossfuzz,afl,36033,12064,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-sqlite3-afl,2022-08-01 13:17:46.720452,,86400,13661,,,0,16495,False,,9387,e1v0-afl,2.0,1.0,16.0,9849.0,38188.0,10221.0,3316.0,13078.0,7367.0,8995.0,2120.0,2613.0,45.0,0.0,3122302.127586208,2595025.6333333333,2839585.6666666665,3241461.9,6914351.866666666,1686.9310344827586,419.0,872.0,1603.0,20576.0,29.0
5,2,zlib_zlib_uncompress_fuzzer,afl,48158,12067,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-zlib-afl,2022-08-01 13:31:50.971939,2022-08-02 13:42:08.599046,86400,454,,,0,471,True,18900.0,194,e1v0-afl,2.0,1.0,66.0,3075.0,10231.0,3048.0,1122.0,4386.0,311.0,335.0,128.0,139.0,4.0,0.0,2412663.2333333334,2412663.2333333334,2412663.2333333334,2412663.2333333334,2412663.2333333334,40.0,40.0,40.0,40.0,40.0,1.0
6,3,lcms-2017-03-21,afl,290,12033,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-lcms-afl,2022-08-01 13:11:10.401248,,86400,1400,,,0,2079,False,,506,e1v0-afl,3.0,2.0,46.0,3469.0,13840.0,3820.0,1360.0,4960.0,467.0,501.0,142.0,153.0,17.0,0.0,2818201.211111111,2741291.45,2759940.2,2865980.466666667,2972020.7333333334,484.0,484.0,484.0,484.0,484.0,3.0
7,3,sqlite3_ossfuzz,afl,36130,12081,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-sqlite3-afl,2022-08-01 13:17:46.905871,,86400,15573,,,0,16495,False,,11169,e1v0-afl,3.0,2.0,21.0,9849.0,38188.0,10221.0,3316.0,13078.0,8281.0,10354.0,2481.0,3099.0,50.0,0.0,6674440.543243243,2726225.408333333,2883242.5166666666,3143658.0083333333,244630557.3,1793.0,292.75,726.0,1802.75,16864.0,74.0
8,3,zlib_zlib_uncompress_fuzzer,afl,48255,12069,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-zlib-afl,2022-08-01 13:31:50.942887,2022-08-02 13:42:08.599046,86400,449,,,0,471,True,61200.0,317,e1v0-afl,3.0,2.0,71.0,3075.0,10231.0,3048.0,1122.0,4386.0,341.0,399.0,160.0,181.0,4.0,0.0,2592130.3366666664,2535989.9833333334,2584472.833333333,2652240.325,2715192.1666666665,14.5,5.0,6.0,7.75,84.0,10.0
9,4,lcms-2017-03-21,afl,387,12025,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-lcms-afl,2022-08-01 13:11:10.169701,,86400,1418,,,0,2079,False,,548,e1v0-afl,4.0,3.0,35.0,3469.0,13840.0,3820.0,1360.0,4960.0,498.0,542.0,145.0,158.0,17.0,0.0,2978838.6,2916074.533333333,2978838.6,3041602.666666667,3104366.7333333334,1050.0,591.0,1050.0,1509.0,1968.0,2.0
10,4,sqlite3_ossfuzz,afl,36227,12069,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-sqlite3-afl,2022-08-01 13:17:46.742074,,86400,12962,,,0,16495,False,,7227,e1v0-afl,4.0,3.0,10.0,9849.0,38188.0,10221.0,3316.0,13078.0,5781.0,6790.0,1692.0,1997.0,41.0,0.0,3248903.427777778,3000518.4833333334,3133629.8166666664,3563344.6,3735147.033333333,1151.3333333333333,447.5,1166.5,1809.75,2295.0,6.0
11,4,zlib_zlib_uncompress_fuzzer,afl,48352,12070,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-zlib-afl,2022-08-01 13:31:50.979760,2022-08-02 13:42:08.599046,86400,448,,,0,471,True,26100.0,275,e1v0-afl,4.0,3.0,60.0,3075.0,10231.0,3048.0,1122.0,4386.0,329.0,375.0,140.0,153.0,4.0,0.0,2208554.746666667,2197436.8666666667,2214304.3666666667,2223957.933333333,2231910.7,11.4,6.0,6.0,7.0,36.0,5.0
12,5,lcms-2017-03-21,afl,484,12074,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-lcms-afl,2022-08-01 13:11:10.324196,,86400,1422,,,0,2079,False,,1092,e1v0-afl,5.0,4.0,33.0,3469.0,13840.0,3820.0,1360.0,4960.0,811.0,971.0,196.0,233.0,18.0,0.0,3146969.27037037,2868703.033333333,2942657.933333333,3203780.566666667,4427961.733333333,618.2222222222222,132.0,132.0,484.0,1968.0,9.0
13,5,sqlite3_ossfuzz,afl,36324,12072,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-sqlite3-afl,2022-08-01 13:17:46.788801,,86400,13969,,,0,16495,False,,9692,e1v0-afl,5.0,4.0,8.0,9849.0,38188.0,10221.0,3316.0,13078.0,7147.0,8794.0,2166.0,2657.0,42.0,0.0,5332256.977777777,2955781.1333333333,3149697.4,3971231.733333333,36961739.23333333,1822.428571428572,676.0,1032.0,2304.0,6854.0,21.0
14,5,zlib_zlib_uncompress_fuzzer,afl,48449,12068,42585768d5183402be36e8391f0559d71a60cdf6,/home/ec2-user/scratch/experiment-data,e1v0-zlib-afl,2022-08-01 13:31:50.991048,2022-08-02 13:42:08.599046,86400,456,,,0,471,True,1800.0,326,e1v0-afl,5.0,4.0,58.0,3075.0,10231.0,3048.0,1122.0,4386.0,335.0,397.0,141.0,171.0,4.0,0.0,2673548.747619048,2587435.083333333,2623514.6333333333,2726915.1833333336,2935720.1666666665,2886.428571428572,6.5,8.0,10.0,20160.0,7.0
