"coefficient","estimate","lower","upper"
"(Intercept)",2.03731973936661,1.69348071341357,2.3839107269304
"fuzzerafl",1.94238390640264,1.53875557285921,2.38010933833606
"fuzzeraflplusplus",0.308679068373936,-0.170103475569182,0.788477657692246
"fuzzerentropic",-0.343269257550205,-0.798079355937613,0.114525901019979
"mean_exec_ns",0.0135009231059276,-0.000143489227184496,0.0278685494723141
"mean_size_bytes",0.0024989624344424,-0.0129140869648542,0.0171703243717824
"initial_coverage",0.0203250496819209,0.00525888602499101,0.0357205685461009
"bin_text_size",0.124858145564178,0.0954811312664505,0.153784590311647
"fuzzerafl:mean_exec_ns",-0.0170965842709767,-0.0342965643358515,0.00015796815848468
"fuzzeraflplusplus:mean_exec_ns",-0.0274990750747617,-0.0451067549812166,-0.0104676200998508
"fuzzerentropic:mean_exec_ns",-0.0102653078850507,-0.0285780720799455,0.00793865941888792
"fuzzerafl:mean_size_bytes",-0.0043315925349001,-0.0230044356614328,0.0143329830069471
"fuzzeraflplusplus:mean_size_bytes",-0.00424751524374716,-0.0245529276540522,0.0149467415150459
"fuzzerentropic:mean_size_bytes",0.000382359586121396,-0.018220553521089,0.0194350912817695
"fuzzerafl:initial_coverage",-0.0328613271584853,-0.0514691020880395,-0.014447033553118
"fuzzeraflplusplus:initial_coverage",-0.0284881614437671,-0.0484202831227242,-0.00833963952820407
"fuzzerentropic:initial_coverage",-0.0252886765766394,-0.0444190046751454,-0.00567012877383245
"fuzzerafl:bin_text_size",-0.178430548111039,-0.214691968249005,-0.142862493784063
"fuzzeraflplusplus:bin_text_size",-0.22172764724445,-0.260536090249767,-0.184108305017602
"fuzzerentropic:bin_text_size",-0.0996278749478331,-0.136577986993505,-0.0624167421462374
