"per_target_trial","benchmark","fuzzer","edges_covered","coverage_increase","fuzzer_rank","initial_coverage","mean_exec_ns","mean_size_bytes","corpus_size","total_shared","total_eq","total_ineq","bin_text_size"
0,"harfbuzz-1.3.2","afl",6636,2395,4,6,14,21,7,5,8,10,7
0,"libjpeg-turbo-07-2017","afl",2024,637,3,15,17,6,14.5,2,1,3,9
0,"libpcap_fuzz_both","afl",2640,1199,3,3,24,1,8,10,9,6,3
0,"libpng-1.2.56","afl",894,142,4,22,10,18,19,6,5,4,1
0,"libxslt_xpath","afl",9076,1220,4,9,22,14,9,1,2,1,11
0,"mbedtls_fuzz_dtlsclient","afl",2743,526,4,7,12,5,9,11,11,9,6
0,"vorbis-2017-12-11","afl",1240,321,4,4,16,3,5.5,8,6,8,4
0,"woff2-2016-05-06","afl",1203,139,4,22,12,3,22,9,10,11,5
0,"zlib_zlib_uncompress_fuzzer","afl",467,65,4,23,21,16,22,4,3,2,2
1,"harfbuzz-1.3.2","afl",6872,1626,3,13,9,5,15,5,8,10,7
1,"libjpeg-turbo-07-2017","afl",1810,608,3,10,4,2,17.5,2,1,3,9
1,"libpcap_fuzz_both","afl",3240,869,3,18,6,13,21,10,9,6,3
1,"libpng-1.2.56","afl",851,370,4,10,23,4,9.5,6,5,4,1
1,"libxslt_xpath","afl",9828,1210,3,12,6,15,13,1,2,1,11
1,"mbedtls_fuzz_dtlsclient","afl",3752,241,4,24,2,11,23,11,11,9,6
1,"vorbis-2017-12-11","afl",1359,111,3,18,20,8,19,8,6,8,4
1,"woff2-2016-05-06","afl",1208,149,4,21,24,14,20,9,10,11,5
1,"zlib_zlib_uncompress_fuzzer","afl",469,114,4,17,20,17,14,4,3,2,2
2,"harfbuzz-1.3.2","afl",6853,1306,4,18,22,20,17,5,8,10,7
2,"libjpeg-turbo-07-2017","afl",1853,579,3,12,8,13,10,2,1,3,9
2,"libpcap_fuzz_both","afl",2984,802,3,15,17,12,12,10,9,6,3
2,"libpng-1.2.56","afl",639,427,4,1,22,8,1,6,5,4,1
2,"libxslt_xpath","afl",9699,978,3,13,17,9,12,1,2,1,11
2,"mbedtls_fuzz_dtlsclient","afl",3261,402,4,10,19,12,11,11,11,9,6
2,"vorbis-2017-12-11","afl",1364,141,2,16,12,21,16,8,6,8,4
2,"woff2-2016-05-06","afl",1156,145,4,18,2,20,21,9,10,11,5
2,"zlib_zlib_uncompress_fuzzer","afl",459,144,4,12,2,8,14,4,3,2,2
3,"harfbuzz-1.3.2","afl",6864,1410,4,17,3,7,18.5,5,8,10,7
3,"libjpeg-turbo-07-2017","afl",1988,475,3,18,2,17,20,2,1,3,9
3,"libpcap_fuzz_both","afl",2997,1075,4,13,10,19,18,10,9,6,3
3,"libpng-1.2.56","afl",854,475,4,3,20,1,4.5,6,5,4,1
3,"libxslt_xpath","afl",10581,490,3,22,13,17,22,1,2,1,11
3,"mbedtls_fuzz_dtlsclient","afl",1455,231,4,1,6,1,1,11,11,9,6
3,"vorbis-2017-12-11","afl",1374,76,2,23,11,18,23,8,6,8,4
3,"woff2-2016-05-06","afl",1198,114,4,23,4,7,23,9,10,11,5
3,"zlib_zlib_uncompress_fuzzer","afl",465,113,4,16,13,7,18.5,4,3,2,2
4,"harfbuzz-1.3.2","afl",7327,1031,3,23,1,13,24,5,8,10,7
4,"libjpeg-turbo-07-2017","afl",2031,234,4,24,7,19,23,2,1,3,9
